# Constructed from biom file
#OTU ID	ACB.StMiMe.15_100K-taxa	ACB.Saliva.17_100K-taxa	ACB.StMiMe.18_100K-taxa	ACB.StMiMe.2_100K-taxa	ACB.StMiMe.19_100K-taxa	ACB.Saliva.151_100K-taxa	ACB.Saliva.111_100K-taxa	ACB.StMiMe.8_100K-taxa	ACB.Saliva.31_100K-taxa	ACB.Saliva.100_100K-taxa	Consensus Lineage
3070997	3.0	0.0	1.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerocolumna; s__sp. MB42-C2
433286	1.0	0.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	1.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerocolumna; s__cellulosilytica
2696063	1.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	1.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerocolumna; s__sedimenticola
1164882	4.0	2.0	1.0	6.0	7.0	0.0	0.0	3.0	0.0	10.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Lachnoanaerobaculum; s__
2490855	8.0	8.0	0.0	2.0	4.0	2.0	9.0	3.0	2.0	50.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Lachnoanaerobaculum; s__gingivalis
3070215	11.0	0.0	0.0	2.0	3.0	0.0	0.0	3.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Kineothrix; s__sp. MB12-C1
3028070	10.0	0.0	3.0	7.0	6.0	0.0	0.0	1.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Claveliimonas; s__bilis
185007	7.0	0.0	0.0	5.0	4.0	0.0	0.0	2.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Pseudobutyrivibrio; s__xylanivorans
2785025	5.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	1.0	1.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaeromicropila; s__herbilytica
28446	3.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerotignum; s__propionicum
3070814	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerotignum; s__sp. MB30-C6
2709410	3.0	0.0	4.0	2.0	4.0	0.0	0.0	2.0	0.0	1.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Chordicoccus; s__furentiruminis
3059030	2.0	3.0	0.0	2.0	0.0	13.0	8.0	0.0	13.0	65.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Stomatobaculum; s__sp. F0698
36835	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Tyzzerella; s__[Clostridium] colinum
216572	187.0	3.0	114.0	119.0	177.0	1.0	0.0	222.0	0.0	2.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__; s__
216851	4463.0	11.0	2349.0	3769.0	1299.0	0.0	0.0	3146.0	0.0	2.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Faecalibacterium; s__
2929491	504.0	2.0	144.0	359.0	100.0	0.0	0.0	1302.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Faecalibacterium; s__sp. HTF-F
2929494	220.0	0.0	107.0	173.0	38.0	0.0	0.0	123.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Faecalibacterium; s__sp. I4-1-79
2929489	202.0	0.0	39.0	96.0	22.0	0.0	0.0	127.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Faecalibacterium; s__sp. IP-3-29
2929490	185.0	0.0	48.0	164.0	10.0	0.0	0.0	153.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Faecalibacterium; s__sp. I2-3-92
2929492	184.0	1.0	88.0	128.0	21.0	0.0	0.0	123.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Faecalibacterium; s__sp. I3-3-33
2929488	130.0	0.0	72.0	86.0	13.0	0.0	0.0	41.0	0.0	1.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Faecalibacterium; s__sp. IP-1-18
2929495	82.0	3.0	274.0	699.0	315.0	0.0	0.0	227.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Faecalibacterium; s__sp. I4-3-84
2929493	61.0	4.0	198.0	126.0	62.0	0.0	1.0	168.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Faecalibacterium; s__sp. I3-3-89
853	1492.0	9.0	1293.0	2417.0	1775.0	0.0	2.0	3050.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Faecalibacterium; s__prausnitzii
411483	573.0	0.0	171.0	159.0	30.0	0.0	0.0	217.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Faecalibacterium; s__duncaniae
1263	11.0	0.0	1.0	14.0	1.0	0.0	0.0	6.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Ruminococcus; s__
657323	234.0	5.0	66.0	410.0	413.0	0.0	0.0	532.0	0.0	0.0	k__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Ruminococcus; s__sp. SR1/5
